x_acc,y_acc
-0.9975829,-0.06948598
-0.392004,0.9199635
0.26808962,-0.963394
-0.0059247105,0.9999825
-0.92036146,-0.39106882
-0.99705714,0.076662265
0.9984546,0.055574037
-0.63054097,-0.77615595
-0.6182895,-0.7859505
-0.9655903,0.26006803
-0.704276,-0.70992625
0.57571334,-0.8176516
-0.8687534,-0.49524498
-0.25005296,0.96823215
-0.8562088,-0.5166299
-0.6341868,0.7731798
0.010208918,-0.9999479
0.22983983,-0.97322845
-0.977385,0.21146782
0.16189486,-0.986808
0.00900496,-0.99995947
-0.87610006,-0.48212934
-0.41094425,-0.9116605
0.9995189,-0.031016922
0.78813,0.6155088
0.94601196,-0.32413167
0.9191814,0.39383438
0.2554436,-0.96682394
0.32514346,-0.9456647
-0.13224845,-0.9912166
0.23294985,0.97248876
0.75079143,0.6605393
0.15406796,-0.98806024
0.37321255,0.9277459
0.6398831,0.76847225
0.7713575,-0.63640213
0.5913877,-0.80638736
-0.29522654,-0.9554273
0.07412776,0.99724877
0.48537838,-0.8743042
0.10305845,0.9946753
0.38101155,-0.92457026
0.9581036,0.28642184
0.36095,0.9325852
0.9994601,-0.032856572
0.70696455,0.707249
0.19001292,0.9817816
-0.9999458,0.010408126
0.9990359,0.043901328
0.9468968,0.32153758
0.9569098,0.29038537
0.7444363,-0.6676935
0.9115398,-0.41121185
0.5833132,0.81224734
-0.98947185,-0.14472534
-0.10310774,0.9946702
0.549829,-0.8352772
0.99743146,-0.07162709
0.7920718,0.6104279
0.96251196,0.27123925
-0.9743813,-0.22490226
0.865417,0.5010523
-0.98325247,-0.18224865
-0.99394006,-0.10992331
-0.08197444,-0.9966344
0.8805227,-0.47400388
0.9716181,0.23655497
0.7252967,-0.6884364
0.89787334,0.44025388
0.13045768,0.9914539
-0.26065993,-0.9654307
0.029743588,-0.99955755
-0.4359788,-0.89995694
-0.94825214,0.3175183
-0.48199075,-0.8761763
0.043930706,-0.9990346
0.5050151,-0.86311054
0.95142174,-0.30789068
0.97729665,0.2118756
-0.97511965,0.22167918
0.32817906,0.94461554
-0.9468133,-0.32178342
-0.9784994,0.20624946
0.24948934,0.96837753
-0.7015979,-0.71257305
-0.99754715,0.06999787
-0.8488893,0.52857065
-0.22797242,-0.97366756
0.5601476,-0.8283928
-0.7533906,0.6575732
-0.99776053,-0.06688756
0.91983914,-0.39229572
-0.4881662,-0.8727507
-0.26142174,-0.9652247
-0.8611107,-0.5084175
-0.91399616,-0.40572283
-0.709455,0.7047507
0.47376934,-0.880649
-0.8497274,0.5272223
-0.9195185,-0.39304674
0.5620075,-0.82713217
0.0017552486,-0.99999845
0.28853646,-0.9574689
-0.815847,-0.5782678
-0.40074307,-0.91619045
-0.2775439,-0.96071297
-0.9942921,-0.106692545
-0.68577266,-0.7278158
-0.039839678,-0.99920607
0.8277594,0.56108326
-0.82346183,0.56737167
-0.99153125,0.12986845
-0.5187777,-0.8549091
0.5162542,-0.8564354
0.20487696,0.9787877
0.6336814,0.7735941
-0.5661021,0.8243351
0.63222456,-0.77478516
-0.10744952,0.99421054
-0.25878632,0.9659346
-0.6159707,0.7877691
0.9999565,0.00932921
0.8495723,-0.5274722
0.9118975,-0.41041803
-0.97696304,-0.2134087
-0.8647262,0.5022436
-0.04064869,-0.9991735
-0.99949723,-0.03170683
-0.82112706,-0.5707454
-0.6733043,0.73936546
-0.5025803,-0.86453056
0.3710059,0.92863053
-0.9941058,-0.1084139
0.59135234,-0.8064133
-0.0056657367,-0.99998397
0.99914104,0.041438945
-0.94062865,0.3394373
-0.97598296,-0.21784674
0.06495145,-0.99788845
0.08642187,0.9962586
0.42603374,0.90470725
-0.4428604,-0.8965906
0.87258816,0.4884566
0.25496736,-0.96694964
0.90576893,-0.42377198
0.5128229,-0.8584944
0.9920641,0.1257329
0.98256403,0.18592453
0.98539907,0.17026076
0.71959496,-0.69439405
0.99915785,0.041031826
0.8920045,0.45202658
0.8645208,-0.50259703
0.99988836,0.014943773
0.78236496,0.62282026
-0.51661307,-0.856219
0.533385,-0.84587264
0.5588363,-0.829278
0.9866461,-0.16287851
0.9998164,-0.019160831
0.767049,-0.64158845
-0.05102467,-0.9986974
0.9426185,-0.33387184
0.5037981,0.86382145
0.7545888,-0.65619797
0.99026465,0.13919757
0.112345494,-0.9936692
0.11313626,-0.9935795
-0.105264775,-0.99444425
0.65334946,-0.7570564
0.97603935,0.21759404
0.41912797,-0.90792716
0.12469178,-0.99219555
0.88766116,0.46049717
0.066382684,-0.9977942
-0.058514044,-0.9982866
-0.9793835,-0.20200972
0.101266555,-0.99485934
0.20906432,-0.9779019
-0.9051723,-0.42504483
-0.97832656,-0.20706795
-0.9996748,0.025500307
-0.99831903,-0.057957664
-0.9964011,0.08476365
-0.91856,-0.39528152
0.055415373,-0.9984634
-0.812039,-0.58360314
-0.8027568,-0.59630656
-0.82454133,-0.5658017
-0.66283816,-0.74876267
-0.965264,-0.2612764
-0.97601414,-0.21770713
-0.10693045,-0.9942665
0.14439097,-0.9895207
-0.9122628,-0.4096054
-0.8030239,-0.59594685
-0.7202415,-0.69372344
-0.39723423,-0.9177173
-0.66628975,-0.74569297
0.33238518,-0.9431437
-0.772551,-0.6349527
-0.97164,-0.23646517
